Fecha de operación;Fecha de valor;Concepto;Importe;Divisa
04/12/2025;03/12/2025;PERIODO 03/11/2025 03/12/2025;0,93;EUR
04/11/2025;03/11/2025;PERIODO 03/10/2025 03/11/2025;0,96;EUR
02/11/2025;02/11/2025;Ahorros;20;EUR
04/10/2025;03/10/2025;PERIODO 03/09/2025 03/10/2025;0,91;EUR
03/10/2025;03/10/2025;Ahorros;40;EUR
04/09/2025;03/09/2025;PERIODO 03/08/2025 03/09/2025;0,93;EUR
04/08/2025;03/08/2025;PERIODO 03/07/2025 03/08/2025;0,99;EUR
01/08/2025;01/08/2025;Ahorros;20;EUR
04/07/2025;03/07/2025;PERIODO 03/06/2025 03/07/2025;1,17;EUR
23/06/2025;23/06/2025;Ahorros;20;EUR
07/06/2025;07/06/2025;Ahorros;20;EUR
04/06/2025;03/06/2025;PERIODO 03/05/2025 03/06/2025;1,19;EUR
09/05/2025;09/05/2025;Ahorros;20;EUR
09/05/2025;09/05/2025;Ahorros;20;EUR
04/05/2025;03/05/2025;PERIODO 03/04/2025 03/05/2025;1,3;EUR
13/04/2025;13/04/2025;Ahorros;20;EUR
04/04/2025;03/04/2025;PERIODO 03/03/2025 03/04/2025;1,48;EUR
04/03/2025;03/03/2025;PERIODO 03/02/2025 03/03/2025;1,55;EUR
25/02/2025;25/02/2025;Ahorros;20;EUR
04/02/2025;03/02/2025;PERIODO 03/01/2025 03/02/2025;1,95;EUR
08/01/2025;08/01/2025;Ahorros;20;EUR
04/01/2025;03/01/2025;PERIODO 03/12/2024 03/01/2025;2,05;EUR
