Fecha de operación;Fecha de valor;Concepto;Importe;Divisa
21/12/2025;22/12/2025;APERTURA DEP.:  00000000665319;-100.000;EUR
20/12/2025;20/12/2025;INTERESES DEP.: 00000000665306;100.158,05;EUR
16/12/2025;15/12/2025;PERIODO 15/11/2025 15/12/2025;0,89;EUR
02/12/2025;02/12/2025;FONDOS INDEXADOS;300;EUR
01/12/2025;01/12/2025;Aportacion automatica cartera;-300;EUR
20/11/2025;20/11/2025;APERTURA DEP.:  00000000665306;-100.000;EUR
20/11/2025;20/11/2025;INTERESES DEP.: 00000000665291;100.170,06;EUR
16/11/2025;15/11/2025;PERIODO 15/10/2025 15/11/2025;3,11;EUR
04/11/2025;04/11/2025;FONDOS INDEXADOS;300;EUR
02/11/2025;02/11/2025;Ahorros;-20;EUR
02/11/2025;02/11/2025;Ahorros;-20;EUR
02/11/2025;02/11/2025;Ahorros;-20;EUR
01/11/2025;01/11/2025;Aportacion automatica cartera;-300;EUR
18/10/2025;20/10/2025;APERTURA DEP.:  00000000665291;-100.000;EUR
18/10/2025;18/10/2025;INTERESES DEP.: 00000000665275;100.164,58;EUR
16/10/2025;15/10/2025;PERIODO 15/09/2025 15/10/2025;0,79;EUR
03/10/2025;03/10/2025;Ahorros;-40;EUR
03/10/2025;03/10/2025;Ahorros;-20;EUR
03/10/2025;03/10/2025;Ahorros;-20;EUR
02/10/2025;02/10/2025;FONDOS INDEXADOS;300;EUR
01/10/2025;01/10/2025;Aportacion automatica cartera;-300;EUR
19/09/2025;19/09/2025;Ahorros;-15;EUR
18/09/2025;18/09/2025;APERTURA DEP.:  00000000665275;-100.000;EUR
18/09/2025;18/09/2025;INTERESES DEP.: 00000000665260;100.170,06;EUR
17/09/2025;17/09/2025;Ahorros;-15;EUR
16/09/2025;15/09/2025;PERIODO 15/08/2025 15/09/2025;3,16;EUR
03/09/2025;03/09/2025;Ahorros;-20;EUR
03/09/2025;03/09/2025;Ahorros;-20;EUR
02/09/2025;02/09/2025;FONDOS INDEXADOS;300;EUR
01/09/2025;01/09/2025;Aportacion automatica cartera;-300;EUR
18/08/2025;18/08/2025;Transferencia desde MyInvestor;-7000;EUR
16/08/2025;18/08/2025;APERTURA DEP.:  00000000665260;-100.000;EUR
16/08/2025;15/08/2025;PERIODO 15/07/2025 15/08/2025;4,94;EUR
16/08/2025;16/08/2025;INTERESES DEP.: 00000000665247;100.203,63;EUR
04/08/2025;04/08/2025;FONDOS INDEXADOS;300;EUR
01/08/2025;01/08/2025;Ahorros;-20;EUR
01/08/2025;01/08/2025;Ahorros;-20;EUR
01/08/2025;01/08/2025;Ahorros;-20;EUR
01/08/2025;01/08/2025;Aportacion automatica cartera;-300;EUR
16/07/2025;16/07/2025;APERTURA DEP.:  00000000665247;-100.000;EUR
16/07/2025;15/07/2025;PERIODO 15/06/2025 15/07/2025;7,4;EUR
16/07/2025;16/07/2025;INTERESES DEP.: 00000000665235;60.118,24;EUR
14/07/2025;14/07/2025;Agel David FalcA Garrido;40.000;EUR
02/07/2025;02/07/2025;FONDOS INDEXADOS;300;EUR
01/07/2025;01/07/2025;Aportacion automatica cartera;-300;EUR
01/07/2025;01/07/2025;Ahorros;-500;EUR
23/06/2025;23/06/2025;Ahorros;-20;EUR
23/06/2025;23/06/2025;Ahorros;-20;EUR
23/06/2025;23/06/2025;Ahorros;-20;EUR
16/06/2025;15/06/2025;PERIODO 15/05/2025 15/06/2025;7,29;EUR
14/06/2025;16/06/2025;APERTURA DEP.:  00000000665235;-60.000;EUR
14/06/2025;14/06/2025;INTERESES DEP.: 00000000665224;60.122,18;EUR
07/06/2025;07/06/2025;Ahorros;-20;EUR
07/06/2025;07/06/2025;Ahorros;-20;EUR
07/06/2025;07/06/2025;Ahorros;-20;EUR
03/06/2025;03/06/2025;FONDOS INDEXADOS;300;EUR
01/06/2025;01/06/2025;Aportacion automatica cartera;-300;EUR
16/05/2025;15/05/2025;PERIODO 15/04/2025 15/05/2025;5,79;EUR
14/05/2025;14/05/2025;APERTURA DEP.:  00000000665224;-60.000;EUR
14/05/2025;14/05/2025;INTERESES DEP.: 00000000665213;60.118,2;EUR
09/05/2025;09/05/2025;FONDOS INDEXADOS;500;EUR
09/05/2025;09/05/2025;Ahorros;-20;EUR
09/05/2025;09/05/2025;Ahorros;-20;EUR
09/05/2025;09/05/2025;Ahorros;-20;EUR
07/05/2025;07/05/2025;Ahorros;-20;EUR
07/05/2025;07/05/2025;Ahorros;-20;EUR
05/05/2025;05/05/2025;FONDOS INDEXADOS;300;EUR
01/05/2025;01/05/2025;Aportacion automatica cartera;-300;EUR
16/04/2025;15/04/2025;PERIODO 15/03/2025 15/04/2025;16,48;EUR
13/04/2025;14/04/2025;APERTURA DEP.:  00000000665213;-60.000;EUR
13/04/2025;13/04/2025;Ahorros;-20;EUR
13/04/2025;13/04/2025;Ahorros;-20;EUR
13/04/2025;13/04/2025;Ahorros;-20;EUR
13/04/2025;13/04/2025;INTERESES DEP.: 00000000665168;50.296,59;EUR
02/04/2025;02/04/2025;FONDOS INDEXADOS;300;EUR
01/04/2025;01/04/2025;Aportacion automatica cartera;-300;EUR
16/03/2025;15/03/2025;PERIODO 15/02/2025 15/03/2025;14,2;EUR
10/03/2025;10/03/2025;Transferencia desde MyInvestor;-500;EUR
04/03/2025;04/03/2025;FONDOS INDEXADOS;300;EUR
28/02/2025;28/02/2025;Ahorros;-20;EUR
27/02/2025;27/02/2025;Aportacion automatica cartera;-300;EUR
25/02/2025;25/02/2025;FONDOS INDEXADOS;6000;EUR
25/02/2025;25/02/2025;Ahorros;-20;EUR
22/02/2025;22/02/2025;Ahorros;-40;EUR
16/02/2025;15/02/2025;PERIODO 15/01/2025 15/02/2025;13,7;EUR
05/02/2025;05/02/2025;Aportacion a mi cartera;-300;EUR
05/02/2025;05/02/2025;FONDOS INDEXADOS;600;EUR
16/01/2025;15/01/2025;PERIODO 15/12/2024 15/01/2025;18,69;EUR
12/01/2025;13/01/2025;APERTURA DEP.:  00000000665168;-50.000;EUR
11/01/2025;11/01/2025;INTERESES DEP.: 00000000665155;50.135,15;EUR
08/01/2025;08/01/2025;Ahorros;-20;EUR
08/01/2025;08/01/2025;Ahorros;-20;EUR
08/01/2025;08/01/2025;Ahorros;-20;EUR
03/01/2025;03/01/2025;AXA AURORA VIDA S.A.      CIF;-89,09;EUR
03/01/2025;03/01/2025;AXA AURORA VIDA S.A.      CIF;-89,09;EUR
03/01/2025;03/01/2025;Aportacion automatica cartera;-300;EUR
